client_id,token_last_checked,human_readable_timestamp,result
110278,1688828068.66094,2023-07-08 07:54:28,No refresh needed
110278,1688828193.257724,2023-07-08 07:56:33,No refresh needed
110278,1688828237.760966,2023-07-08 07:57:17,No refresh needed
110278,1688828365.795573,2023-07-08 07:59:25,No refresh needed
110278,1688830066.543228,2023-07-08 08:27:46,No refresh needed
110278,1688832055.337266,2023-07-08 09:00:55,No refresh needed
110278,1688833963.218278,2023-07-08 09:32:43,No refresh needed
110278,1688833990.404517,2023-07-08 09:33:10,No refresh needed
110278,1688834026.756868,2023-07-08 09:33:46,No refresh needed
110278,1688834388.680594,2023-07-08 09:39:48,Token still valid
110278,1688834418.114524,2023-07-08 09:40:18,Token still valid
110278,1688834559.761973,2023-07-08 09:42:39,Token still valid
110278,1688834797.896074,2023-07-08 09:46:37,Token still valid
110278,1688835003.448604,2023-07-08 09:50:03,Token still valid
110278,1688835094.457272,2023-07-08 09:51:34,Token still valid
110278,1688835164.42756,2023-07-08 09:52:44,Token still valid
110278,1688835313.363377,2023-07-08 09:55:13,Token still valid
110278,1688835321.312746,2023-07-08 09:55:21,Token still valid
110278,1688836070.803165,2023-07-08 10:07:50,Token still valid
110278,1688846978.718819,2023-07-08 13:09:38,Token still valid
110278,1688871243.512364,2023-07-08 19:54:03,Token refreshed
110278,1689721835.388155,2023-07-18 16:10:35,Token refreshed
